#"Try and"# is common in colloquial speech, but #"try to"# is recommended for writing.	#“try and”#常用于口语，但写作建议用#“try to”#。
#"needs cut"# is only accepted in certain dialects. For something more widely acceptable, try #"cut" or "to be cut"#.	#“needs cut”#常出现在某些方言中。更广泛使用的是#“cut”或“to be cut”#。
#'Also'# is not used at the end of the sentence. Use #"as well"# instead.	#“also”#一般不用于句尾。通常用#“as well”#代替。
#'Each', 'every', 'either' and 'neither'# are used with singular and thus take a singular pronoun: #"his", "her", "his or her", "its"#	 #“each”、“every”、“either”和“neither”#与单数一起使用，因此取单数代词：#“his”、“her”、“his or her”、“its”#
#'Each', 'every', 'either' and 'neither'# are used with singular. Did you mean #"all"#?	#“each”、“every”、“either”和“neither”#与单数一起使用。你的意思是#“all”#？
#'Everyday'# is an adjective, and the comma is missing. Did you mean #"every day, I"#?	#“Everyday”#是一个形容词，没有逗号。你是要表达#"every day, I"吗#？
#'Everyday'# is an adjective. Did you mean #"every day"#?	#“Everyday”#是一个形容词。你是想说#“every day”#？
#'Going to'# requires the base form: #"be"#	#“Going to”#需要基本形式：#“be”#
#'Say'# cannot be followed by a direct personal object. Did you mean #"tell"#?	#'Say'#后面不能跟直接的个人物品。你是说#tell#吗？
#'So as to'# expresses purpose and is used in formal texts. Consider using #"to"#	#“So as to”#表示目的，并在正式文本中使用。考虑使用#“to”#
#'afraid'# is not a verb. You should rather write: #"You're not afraid"#.	#afraid#不是动词。你应该写下：#You're not afraid#。 
#'combine together'# is redundant. Use #"combine"#	#“combine together”#是多余的。使用#“combine”#
#'woman'# is the singular form of #'women'#. Consider using #"woman"#.	#“woman”#是#“women”#的单数形式。考虑使用#“woman”#。
A comma should precede the tag question (i.e., the yes/no-question at the end).	标记问题（即结尾的是/否问题）前应加逗号。
A determiner cannot combine with a possessive pronoun. Did you mean simply #"Its of" or "a of"#.	限定词不能与所有格代词结合。你的意思是#"Its of" or "a of"#呢？
A determiner is probably missing here: #", the Doest"#.	这里可能缺少一个威慑者：#", the Doest"#。
A more concise phrase may lose no meaning and sound more powerful.	 一个更简洁的短语可能失去意义，听起来更有力。
A new year has begun. Did you mean #"July 13, 2019"#?	新年已经开始。你是说#"July 13, 2019"#吗？
A noun should not follow #'who'#. Try changing to a verb or maybe to #"who is a als"#.	 名词不应跟在#'who'#后面。试着换一个动词，或者换成#"who is a als"#。
A verb is probably missing after #'Twice'#.	#'Twice'#后可能缺失动词。
Add a space between sentences	在句子之间需要添加空格
Adverb repetition. Please, verify.	 请核实副词是否重复。
After #'must'#, the verb is used without #'to'#. Probably, you should use #"must"# or #"have to"# here.	#'must'#动词后面不带#'to'#。可能应该在这里使用#“must”#或#“have to”#。
After #'some of'#, you should use #'the'# #("some of the classmates")# or simply say #"some classmates"#.	在#'some of'#之后，你应该使用#“the”##("some of the classmates")#或者简单地说#“some classmates”#。
An apostrophe is never used to form possessive case pronouns. Did you mean: #"His"#?	撇号从不用来构成所有格代词。你的意思是：#“His”#？
Apostrophe might be missing. Did you mean #"Chines'" or "chine's"#?	可能缺失撇号。你是说#"Chines'" or "chine's"#？
Apostrophes aren't needed for decades: #"80s"#.	几十年代不需要撇号：#“80s”#。
Are you writing a letter? Did you mean "Dear"?	你在写信吗？你是说“Dear”？
Capitalize holidays.	假日大写。
Capitalize specific historic events, episodes, and eras.	将特定的历史事件、事件和时代大写。
Commas set off the month in a weekday-month-day date: #"Sunday,"#.	逗号在工作日、月日、星期日、#"Sunday,"#中抵消了月份。
Comparison is written #'the same ... "as"'#.	比较是写为#"the same ... as"#
Comparison requires #"than"#, not #'then'# nor #'as'#.	比较常用#“than”#，而不是#“then”#，也不是#“as”#。
